city,datetime,month,hour,air_temperature_c,relative_humidity_pct,wind_speed_mps,solar_elevation_deg,tmrt_c,utci_c,thermal_stress_category_he,thermal_stress_category_en
bet_dagan,2021-01-01T00:00,1,0,11.7,81,1.57,-58.6,2.94,8.53,עומס קור קל,Slight Cold Stress
bet_dagan,2021-01-01T03:00,1,3,11.5,88,2.18,-20.8,2.97,8.39,עומס קור קל,Slight Cold Stress
bet_dagan,2021-01-01T06:00,1,6,11.3,88,2.12,13.3,4.12,8.79,עומס קור קל,Slight Cold Stress
bet_dagan,2021-01-01T09:00,1,9,13.4,80,1.25,34.0,24.76,18.31,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-01T12:00,1,12,20.3,60,0.91,26.0,48.79,29.5,עומס חום בינוני,Moderate Heat Stress
bet_dagan,2021-01-01T15:00,1,15,21.0,65,2.33,-3.4,13.27,18.82,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-01T18:00,1,18,16.1,92,2.4,-40.1,8.65,13.69,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-01T21:00,1,21,13.4,94,1.17,-76.8,5.46,10.63,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-02T00:00,1,0,11.1,91,1.68,-58.7,7.36,10.13,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-02T03:00,1,3,12.2,88,1.55,-20.8,10.22,11.99,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-02T06:00,1,6,11.6,89,1.9,13.3,4.52,9.16,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-02T09:00,1,9,14.2,77,1.48,34.0,24.17,18.47,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-02T12:00,1,12,19.9,57,1.94,26.1,44.24,27.7,עומס חום בינוני,Moderate Heat Stress
bet_dagan,2021-01-02T15:00,1,15,20.7,64,2.5,-3.3,12.93,18.5,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-02T18:00,1,18,15.7,88,1.84,-40.0,8.0,13.19,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-02T21:00,1,21,12.9,93,1.63,-76.7,10.0,12.28,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-03T00:00,1,0,11.1,91,1.52,-58.7,8.26,10.53,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-03T03:00,1,3,12.2,86,1.1,-20.9,10.14,11.95,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-03T06:00,1,6,12.0,87,0.78,13.3,5.09,9.53,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-03T09:00,1,9,13.5,83,1.51,34.1,24.7,18.27,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-03T12:00,1,12,20.1,59,2.15,26.3,48.5,28.87,עומס חום בינוני,Moderate Heat Stress
bet_dagan,2021-01-03T15:00,1,15,19.9,72,2.73,-3.2,12.33,17.74,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
bet_dagan,2021-01-03T18:00,1,18,16.3,91,1.84,-39.9,8.92,13.94,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
