city,datetime,month,hour,air_temperature_c,relative_humidity_pct,wind_speed_mps,solar_elevation_deg,tmrt_c,utci_c,thermal_stress_category_he,thermal_stress_category_en
turin,2021-01-01T00:00,1,0,-1.8,86,0.85,-67.3,-6.65,-3.5,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-01T03:00,1,3,-0.8,77,0.91,-42.7,-5.75,-2.51,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-01T06:00,1,6,0.5,70,1.55,-11.5,-4.37,-0.98,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-01T09:00,1,9,0.2,88,0.54,13.6,-2.86,-0.62,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-01T12:00,1,12,0.8,94,1.06,21.6,2.19,2.76,עומס קור קל,Slight Cold Stress
turin,2021-01-01T15:00,1,15,1.7,93,2.12,7.1,4.32,4.14,עומס קור קל,Slight Cold Stress
turin,2021-01-01T18:00,1,18,1.4,95,0.76,-20.8,-2.58,0.17,עומס קור קל,Slight Cold Stress
turin,2021-01-01T21:00,1,21,0.7,100,0.85,-52.0,-3.27,-0.48,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-02T00:00,1,0,0.5,100,0.78,-67.2,-3.5,-0.74,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-02T03:00,1,3,0.9,100,0.54,-42.7,-3.03,-0.47,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-02T06:00,1,6,0.6,100,1.81,-11.5,-3.39,-0.41,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-02T09:00,1,9,0.4,100,1.5,13.6,-2.31,0.13,עומס קור קל,Slight Cold Stress
turin,2021-01-02T12:00,1,12,2.1,92,2.67,21.7,1.8,2.88,עומס קור קל,Slight Cold Stress
turin,2021-01-02T15:00,1,15,1.3,98,1.49,7.2,4.3,4.08,עומס קור קל,Slight Cold Stress
turin,2021-01-02T18:00,1,18,1.5,96,1.33,-20.7,-2.43,0.49,עומס קור קל,Slight Cold Stress
turin,2021-01-02T21:00,1,21,1.8,95,2.14,-51.9,-2.11,0.78,עומס קור קל,Slight Cold Stress
turin,2021-01-03T00:00,1,0,2.3,94,1.5,-67.2,-1.55,1.34,עומס קור קל,Slight Cold Stress
turin,2021-01-03T03:00,1,3,4.0,93,2.25,-42.7,0.44,3.1,עומס קור קל,Slight Cold Stress
turin,2021-01-03T06:00,1,6,3.6,94,1.3,-11.5,-0.01,2.73,עומס קור קל,Slight Cold Stress
turin,2021-01-03T09:00,1,9,1.7,100,0.98,13.6,-0.78,1.41,עומס קור קל,Slight Cold Stress
turin,2021-01-03T12:00,1,12,2.8,96,0.9,21.8,4.16,4.52,עומס קור קל,Slight Cold Stress
turin,2021-01-03T15:00,1,15,3.9,93,3.22,7.3,7.07,6.14,עומס קור קל,Slight Cold Stress
turin,2021-01-03T18:00,1,18,3.7,97,0.86,-20.6,0.2,2.77,עומס קור קל,Slight Cold Stress
turin,2021-01-03T21:00,1,21,3.1,97,0.7,-51.8,-0.63,1.97,עומס קור קל,Slight Cold Stress
turin,2021-01-04T00:00,1,0,2.3,99,0.41,-67.1,-1.52,0.97,עומס קור קל,Slight Cold Stress
turin,2021-01-04T03:00,1,3,2.0,100,1.41,-42.7,-1.73,1.1,עומס קור קל,Slight Cold Stress
turin,2021-01-04T06:00,1,6,1.4,98,1.93,-11.5,-2.5,0.41,עומס קור קל,Slight Cold Stress
turin,2021-01-04T09:00,1,9,1.2,100,1.66,13.6,-1.37,0.97,עומס קור קל,Slight Cold Stress
turin,2021-01-04T12:00,1,12,2.7,93,2.06,21.9,4.12,4.44,עומס קור קל,Slight Cold Stress
turin,2021-01-04T15:00,1,15,4.0,90,2.38,7.5,8.55,7.05,עומס קור קל,Slight Cold Stress
turin,2021-01-04T18:00,1,18,2.6,99,2.33,-20.4,-1.05,1.67,עומס קור קל,Slight Cold Stress
turin,2021-01-04T21:00,1,21,2.4,97,3.21,-51.6,-1.34,1.3,עומס קור קל,Slight Cold Stress
turin,2021-01-05T00:00,1,0,2.5,95,3.35,-67.0,-1.28,1.36,עומס קור קל,Slight Cold Stress
turin,2021-01-05T03:00,1,3,2.9,94,2.92,-42.7,-0.84,1.83,עומס קור קל,Slight Cold Stress
turin,2021-01-05T06:00,1,6,2.0,98,2.6,-11.5,-1.79,0.96,עומס קור קל,Slight Cold Stress
turin,2021-01-05T09:00,1,9,0.6,100,1.66,13.7,-2.07,0.34,עומס קור קל,Slight Cold Stress
turin,2021-01-05T12:00,1,12,1.7,97,1.8,22.0,4.11,4.09,עומס קור קל,Slight Cold Stress
turin,2021-01-05T15:00,1,15,2.4,97,2.43,7.6,4.46,4.4,עומס קור קל,Slight Cold Stress
turin,2021-01-05T18:00,1,18,2.4,95,2.1,-20.3,-1.4,1.43,עומס קור קל,Slight Cold Stress
turin,2021-01-05T21:00,1,21,1.1,100,2.28,-51.5,-2.8,0.07,עומס קור קל,Slight Cold Stress
turin,2021-01-06T00:00,1,0,1.0,99,1.71,-67.0,-2.94,0.01,עומס קור קל,Slight Cold Stress
turin,2021-01-06T03:00,1,3,1.1,99,0.82,-42.7,-2.82,-0.07,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-06T06:00,1,6,0.8,100,0.61,-11.5,-3.15,-0.53,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-06T09:00,1,9,0.5,100,0.42,13.7,-2.19,-0.16,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-06T12:00,1,12,1.8,94,0.81,22.1,11.28,7.81,עומס קור קל,Slight Cold Stress
turin,2021-01-06T15:00,1,15,5.0,79,1.22,7.8,34.7,18.77,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2021-01-06T18:00,1,18,1.2,91,1.66,-20.1,-7.86,-2.75,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-06T21:00,1,21,0.4,96,1.08,-51.3,-9.61,-4.36,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-07T00:00,1,0,-1.4,90,1.7,-66.9,-11.75,-6.32,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-07T03:00,1,3,-3.6,88,1.88,-42.7,-14.23,-8.86,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-07T06:00,1,6,-2.5,76,0.64,-11.5,-13.23,-8.35,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-07T09:00,1,9,-5.2,85,1.91,13.8,-14.61,-9.72,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-07T12:00,1,12,0.0,70,0.14,22.2,25.97,14.49,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2021-01-07T15:00,1,15,3.3,74,2.1,7.9,32.52,17.12,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2021-01-07T18:00,1,18,0.1,89,1.63,-20.0,-4.6,-1.3,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-07T21:00,1,21,-1.9,88,1.8,-51.2,-7.77,-3.99,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-08T00:00,1,0,-4.4,87,1.56,-66.8,-10.83,-6.88,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-08T03:00,1,3,-4.2,81,1.35,-42.7,-15.03,-9.77,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-08T06:00,1,6,-5.3,83,1.22,-11.5,-16.19,-11.09,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-08T09:00,1,9,-5.9,80,1.27,13.9,-15.48,-10.74,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-08T12:00,1,12,0.5,60,1.12,22.3,29.42,15.94,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2021-01-08T15:00,1,15,5.0,52,0.85,8.1,34.39,18.89,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2021-01-08T18:00,1,18,0.9,70,1.84,-19.8,-6.99,-2.33,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-08T21:00,1,21,-0.1,70,1.53,-51.0,-5.05,-1.62,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-09T00:00,1,0,-2.1,73,1.06,-66.7,-10.1,-5.71,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-09T03:00,1,3,-2.3,73,1.26,-42.7,-8.11,-4.4,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-09T06:00,1,6,-2.4,72,0.82,-11.4,-7.6,-4.32,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-09T09:00,1,9,-1.9,74,1.34,13.9,-5.65,-2.69,עומס קור בינוני,Moderate Cold Stress
turin,2021-01-09T12:00,1,12,1.7,68,0.14,22.5,13.86,9.05,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
